idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;status_perusahaan;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;latitude;longitude;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;kegiatan_usahanya;kategori;KBLI;hasilgc
17586093;NEW LUCKY FURNITURE;Jl. Roxy Mas Pertokoan No.32, RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6IkdKbHBEdkJEM2twTkEzOGVCSFRIQlE9PSIsInZhbHVlIjoiMlFYTTVrT0szV0EreC84a2hZOCthZz09IiwibWFjIjoiZDY0NWEwOTZkOWE0NDk0YjlhYTEzNDllMDY2OTA3OWQzMDczODEyODg3NGYzM2UwN2NjNzc1YTlmZjBiODU5NSIsInRhZyI6IiJ9;Aktif;;;;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,167819;106,802963;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17590605;OYO CELL;Ruko Niaga Roxy Mas Blok B2 no. 7, RT.8/RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6InA0NTVvS01hcTloTVN5dXpOY3JJUFE9PSIsInZhbHVlIjoieWJHd1BnMi9wNFJzUGY5Um13Qm1WZz09IiwibWFjIjoiNTQzMjk2NmRmNTBiMzNhNGMzZWUxZWY1NDYwOThjOWU1NzNmMjYwMjgyNmVkMjI3MGU2ZmFmMGUyNTkyZjhlOSIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Perdagangan Ponsel, Kategori: G, KBLI: -]; [Kegiatan Usaha: , Kategori: G, KBLI: ]";;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,167262;106,803741;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17601868;PHONE STATION;Jl. Kh Hasyim Ashari No.86, RW.8, Cideng, Gambir, Central Jakarta City, Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6Inh6b0llWDN4amg2aDQ1MUhXcmI1SlE9PSIsInZhbHVlIjoiTFQxNXQ3SlN0cUFaNHlKRENBNUtiZz09IiwibWFjIjoiMTJjMmZjYjc5YWVjYTNmNGRhYjFmMDUxZThiZTYzOWE4ODE2N2Y1MzI0ZmNmMGJmMTRhZjY5ZjU3M2UxODE1NCIsInRhZyI6IiJ9;Aktif;;;;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,1665;106,802948;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17621695;SAMSUNG EXPERIENCE STORE ITC ROXY MAS;NASA JL.KH. HASYIM ASHARI NO.125, CIDENG LT GF AREA VOID A, RW.8, CIDENG, KECAMATAN GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6IkRvbHJ5ckdxdUVXZFVSZ1k3Qkh2Q1E9PSIsInZhbHVlIjoiUEpqQ3ljV0JxUG1Db01SbXppODNkZz09IiwibWFjIjoiZjFjZjBjYjQ3YjVlODY0OWNiNzRmODU4NzE0Y2U5MzdkMGYxZWI5M2FjMjc2NTkwMGE0Mzc1N2Q3OTA1M2I2NyIsInRhZyI6IiJ9;Aktif;;;;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,169128;106,803078;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17621724;SAMSUNG PREMIUM STORE ITC ROXY MAS;ITC ROXY MAS, Jl. Kh Hasyim Ashari PANCA UTAMA MANDIRI lt1 no.129, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14440;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6ImNsOTVRSVNWZTk2MDRPdG9peEpiNVE9PSIsInZhbHVlIjoicHpOSjFERFB1L29YQ0JOTTlqK0pwdz09IiwibWFjIjoiNzA4NWIyZWNiNjEyNGEyYTg0OWRkZmQyYjYzYmU2NTI1OGVjMDU1NWJhYTljY2ZjOGU4YjZkYzA5ZjQ4NzA1NiIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Perdagangan Elektronik, Kategori: G, KBLI: -]; [Kegiatan Usaha: , Kategori: G, KBLI...";;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,166915;106,803438;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17621725;SAMSUNG PREMIUM STORE ITC ROXY MAS JAKARTA MHI;ITC ROXY MAS LT DASAR NO. 3845, JL. KH HASYIM ASHARI NO.125, DAERAH KHUSUS IBUKOTA JAKARTA 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6ImxDYWFTY2JkT1U2TzJjYUNzbHM0OGc9PSIsInZhbHVlIjoiTWg4eGlVV01vK2g3dWt4UXNCcUw0QT09IiwibWFjIjoiMmZjY2IyYjlkYmM0OTI3OWU5NTNmMTJhOWNkMTBiZGQ1YTE0MzU1ODY2OGU3NjA4YWEzODlmMTE2NGY5NTEwZiIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Perdagangan Ponsel, Kategori: G, KBLI: -]; [Kegiatan Usaha: , Kategori: G, KBLI: ]";;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,166915;106,803438;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17624629;SDN CIDENG 04;Jl. Cimalaya No.1, RT.13/RW.1, Cideng, Gambir, Central Jakarta City, Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6IjVqZVY4OXd2a09IUXpsenhJN0RWekE9PSIsInZhbHVlIjoicDZjSmYyQXd5V3VHdGFlYm1ZTUtBdz09IiwibWFjIjoiZDJiOWI0MTcwMmVlOWU0NWFjMzkxYmI5ZDE1NmIzN2FlOTBiYjEzNDQ3ZWIwOGM4NmViOGFmNWNiMTY2MzVkOCIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Sekolah Dasar, Kategori: P, KBLI: -]; [Kegiatan Usaha: , Kategori: P, KBLI: ]";;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,177258;106,809898;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17624632;SDN CIDENG 10;Jl. Cilamaya No.1 8, RT.8/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6IkJaQ0VhZ09sY2hZeTZDYzdqd2QxSmc9PSIsInZhbHVlIjoiTWtsL3J3dFdQT3dkZzBRNE5hM1Vkdz09IiwibWFjIjoiNjNkNTBlNzEyZTVhNzZhMzMzYWJhYWNkMzE5YzlmYmE3MDhhMGI2M2IxYWNkYjA5N2Q0NWJjNzc5OGYyMTJiNCIsInRhZyI6IiJ9;Aktif;;;;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,177284;106,809891;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17626953;SELLINDO;Jalan KH Hasyim Ashari Lantai Dasar Nomor 63 Cideng Gambir, Jakarta Pusat, RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6InpWbU5jcDFsQ1B1c2Z4V3BhR0srUnc9PSIsInZhbHVlIjoidDlLOElsYzh1RHl3cVR1WnVTNFJpQT09IiwibWFjIjoiN2M3Y2QxMWJlODFjNjUyY2Y1MDdkZTZlNDVjYTBkZDliNTRkMjhmMmM0ODVkOWY2ZTM0NTAwNTdkOTIwYjdkYyIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Perdagangan Ponsel, Kategori: G, KBLI: -]; [Kegiatan Usaha: , Kategori: G, KBLI: ]";;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,166628;106,802956;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
17631520;SEKOLAH DASAR NEGERI CIDENG 13 PAGI;Jl. Cilamaya No.1, RT.8/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150;3173080001;31;73;80;1;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;eyJpdiI6InBQMFFodXBPeFdRSG1DUWw4V2RJZ2c9PSIsInZhbHVlIjoiK3BFbWRra1pPNWZaQTBqR0l6NDNnQT09IiwibWFjIjoiMGNhZTI5YTZkMjY3MDA0OTg0ODg0Y2RlMjNmNjhlNjc5MDAyYzY0YzcxMzVhNTM0Y2JiODY5NDIxYmQ3ZTA3MCIsInRhZyI6IiJ9;Aktif;;;;;31/12/2025;;Tambahan Daerah s.d 31 Desember 2025;-6,177209;106,809898;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;4
